"Identificador do processo de viagem ";"Sequência Trecho";"Origem - Data";"Origem - País";"Origem - UF";"Origem - Cidade";"Destino - Data";"Destino - País";"Destino - UF";"Destino - Cidade";"Meio de transporte";"Número Diárias";"Missao?"
"0000000000016691267";"1";"23/01/2020";"Brasil";"Mato Grosso";"Cuiabá";"26/01/2020";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Aéreo";"0,00";"Sim"
"0000000000016691267";"2";"26/01/2020";"Brasil";"Mato Grosso do Sul";"Campo Grande";"26/01/2020";"Brasil";"Mato Grosso";"Cuiabá";"Aéreo";"0,00";"Não"
