"Identificador do processo de viagem";"Meio de transporte";"País - Origem ida";"UF - Origem ida";"Cidade - Origem ida";"País - Destino ida";"UF - Destino ida";"Cidade - Destino ida";"País - Origem volta";"UF - Origem volta";"Cidade - Origem volta";"Pais - Destino volta";"UF - Destino volta";"Cidade - Destino volta";"Valor da passagem";"Taxa de serviço"
"0000000000016465411";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"221,85";"0,00"
"0000000000016691267";"Aéreo";"Brasil";"Mato Grosso";"Cuiabá";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Brasil";"Mato Grosso do Sul";"Campo Grande";"Brasil";"Mato Grosso";"Cuiabá";"559,64";"0,01"
